,loss,accuracy,auc,true_positives,true_negatives,false_positives,false_negatives,precision,recall,val_loss,val_accuracy,val_auc,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,val_precision,val_recall
0,0.008121827617287636,0.9981516599655151,0.9912564158439636,25335.0,1172446.0,300.0,1918.0,0.9882972240447998,0.9296224117279053,0.004086618777364492,0.9988942742347717,0.9961115121841431,7443.0,342171.0,2.0,385.0,0.9997313618659973,0.9508175849914551
1,0.005168186035007238,0.9986649751663208,0.9954211115837097,25824.0,1172573.0,173.0,1429.0,0.9933453798294067,0.9475653767585754,0.0039011237677186728,0.9987457394599915,0.9984263181686401,7552.0,342010.0,163.0,276.0,0.9788722991943359,0.9647419452667236
2,0.004611546639353037,0.9987350106239319,0.9963043928146362,25797.0,1172684.0,62.0,1456.0,0.9976024031639099,0.9465746879577637,0.003573802299797535,0.9989257454872131,0.9984994530677795,7452.0,342173.0,0.0,376.0,1.0,0.9519672989845276
3,0.004078452475368977,0.9987783432006836,0.9972036480903625,25817.0,1172716.0,30.0,1436.0,0.9988393187522888,0.9473085403442383,0.003402342787012458,0.9989057183265686,0.9967851638793945,7445.0,342173.0,0.0,383.0,1.0,0.9510730504989624
4,0.003962516784667969,0.9987949728965759,0.9973435401916504,25826.0,1172727.0,19.0,1427.0,0.9992648363113403,0.9476388096809387,0.0033171605318784714,0.9989485740661621,0.9977258443832397,7460.0,342173.0,0.0,368.0,1.0,0.9529892802238464
5,0.003773341653868556,0.9987983107566833,0.9975273609161377,25829.0,1172728.0,18.0,1424.0,0.9993035793304443,0.9477488994598389,0.0033617261797189713,0.9989399909973145,0.9969973564147949,7457.0,342173.0,0.0,371.0,1.0,0.9526060223579407
6,0.004355949815362692,0.9987291693687439,0.9970536828041077,25894.0,1172580.0,166.0,1359.0,0.9936301112174988,0.9501339197158813,0.003450483549386263,0.998934268951416,0.996030867099762,7458.0,342170.0,3.0,370.0,0.9995979070663452,0.9527337551116943
7,0.004162739962339401,0.9987691640853882,0.9975866079330444,25905.0,1172617.0,129.0,1348.0,0.9950449466705322,0.9505375623703003,0.003943304531276226,0.9989371299743652,0.9967066645622253,7459.0,342170.0,3.0,369.0,0.99959796667099,0.9528615474700928
8,0.0041838716715574265,0.9987733364105225,0.9977233409881592,25927.0,1172600.0,146.0,1326.0,0.9944003224372864,0.9513447880744934,0.003733772551640868,0.9989399909973145,0.9966545104980469,7461.0,342169.0,4.0,367.0,0.9994641542434692,0.9531170129776001
9,0.00404635164886713,0.9987558126449585,0.9981237649917603,25911.0,1172595.0,151.0,1342.0,0.9942061305046082,0.9507577419281006,0.004968741443008184,0.9989399909973145,0.9944455027580261,7461.0,342169.0,4.0,367.0,0.9994641542434692,0.9531170129776001
